,id,original_title,imdb_id,genre_ids,genres,rating,popularity,release_date,budget,revenue,runtime,status,title
93,732488,First Blush,tt7629464,"[18, 10749, 35]","['Drama', 'Romance', 'Comedy']",NR,3.258,2020-08-27,0,0,108,Released,First Blush
94,583143,Lingua Franca,tt8943224,[18],['Drama'],NR,1.347,2020-08-26,0,0,95,Released,Lingua Franca
95,684689,Dramarama,tt10534030,"[35, 18]","['Comedy', 'Drama']",NR-Manual,3.839,2020-08-22,0,0,91,Released,Dramarama
96,739518,A New York Christmas Wedding,tt10768194,"[10749, 10770, 18]","['Romance', 'TV Movie', 'Drama']",NR-Manual,4.921,2020-08-21,0,0,88,Released,A New York Christmas Wedding
97,724427,Monstrous,tt12198504,"[27, 9648, 53]","['Horror', 'Mystery', 'Thriller']",NR,2.83,2020-08-11,0,0,86,Released,Monstrous
98,719901,The Last Conception,tt9129362,"[35, 18]","['Comedy', 'Drama']",NR,1.937,2020-08-04,0,0,85,Released,The Last Conception
99,733244,Love: Augmented,tt13065426,"[18, 10749]","['Drama', 'Romance']",NR-Manual,0.6,2020-07-30,0,0,67,Released,Love: Augmented
100,728102,The Male Gaze: Strikers & Defenders,tt12784260,[18],['Drama'],NR-Manual,2.332,2020-07-27,100000,0,95,Released,The Male Gaze: Strikers & Defenders
101,727281,Nowhere,tt8005114,[18],['Drama'],NR,1.688,2020-07-25,0,0,88,Released,Nowhere
102,545567,Benjamin,tt7455076,"[10749, 35, 18]","['Romance', 'Comedy', 'Drama']",NR-Manual,8.278,2020-07-24,0,0,85,Released,Benjamin
103,754328,Parting Gift,tt12654820,"[16, 10749, 14]","['Animation', 'Romance', 'Fantasy']",NR-Manual,0.692,2020-06-26,0,0,3,Released,Parting Gift
104,593517,2 Weeks,tt7986670,"[27, 18]","['Horror', 'Drama']",NR-Manual,0.9,2020-06-22,0,0,8,Released,2 Weeks
105,681461,The Surrogate,tt10239320,[18],['Drama'],NR-Manual,2.946,2020-06-01,0,0,93,Released,The Surrogate
106,710493,Two Little Boys,tt11198666,[18],['Drama'],NR-Manual,1.4,2020-06-01,0,0,13,Released,Two Little Boys
107,672022,An Extraordinary Affair,tt11598742,[],[],NR-Manual,0.6,2020-06-01,0,0,0,Released,An Extraordinary Affair
108,706860,Out,tt12366826,"[16, 35, 18, 14]","['Animation', 'Comedy', 'Drama', 'Fantasy']",PG,7.856,2020-05-22,0,0,9,Released,Out
109,705397,Thorns,tt12349940,"[27, 53]","['Horror', 'Thriller']",NR-Manual,0.6,2020-05-22,0,0,6,Released,Thorns
110,739343,The Last Leaf,tt9723424,"[18, 27]","['Drama', 'Horror']",NR-Manual,0.6,2020-05-16,0,0,12,Released,The Last Leaf
111,717813,Rules,,[],[],PG,0.676,2020-05-15,0,0,4,Released,Rules
112,701925,Transcending Time,tt12292430,"[878, 18]","['Science Fiction', 'Drama']",NR-Manual,0.6,2020-05-10,0,0,0,Released,Transcending Time
113,705528,Role of a Lifetime,tt7457694,"[18, 27, 9648, 53, 10749]","['Drama', 'Horror', 'Mystery', 'Thriller', 'Romance']",NR-Manual,0.964,2020-05-06,0,0,13,Released,Role of a Lifetime
114,583495,Escaping Freedom,tt6614334,[],[],NR-Manual,0.727,2020-05-05,0,0,152,Released,Escaping Freedom
115,597219,The Half of It,tt9683478,"[35, 10749]","['Comedy', 'Romance']",PG-13,24.357,2020-05-01,0,0,104,Released,The Half of It
116,699014,Red,tt8760130,[18],['Drama'],NR-Manual,1.19,2020-04-27,0,0,29,Released,Red
117,727553,Never Have I Ever,tt10955204,[10749],['Romance'],R,1.441,2020-04-27,0,0,6,Released,Never Have I Ever
118,691494,Mass,tt8999898,[18],['Drama'],NR-Manual,0.897,2020-04-17,15000,0,11,Released,Mass
